,DLash---1.11,CPU,DT2H2X---1.8.4,CPU,SolvedBy,Neither,Either,Both
,,,,,,76,93,27
bad_tree,Unknown,0.01,Timeout,180.3,0,1,0,0
category-theory-lemmas-dhol_5,Timeout,181,Timeout,180.18,0,1,0,0
dchoice_choice_def2,Timeout,180.08,Error,0.04,0,1,0,0
dchoice_choice_def3,Unknown,0,Error,0.03,0,1,0,0
dchoice_no_fp_fin0_min,Unknown,0,Error,0.04,0,1,0,0
dchoice_no_fp_fin1_min,Unknown,0.01,Error,0.04,0,1,0,0
dchoice_no_fp_fin2_min,Unknown,0,Error,0.02,0,1,0,0
dchoice_no_fp_fin3_min,Unknown,0,Error,0.04,0,1,0,0
dchoice_no_fp_fin4_min,Unknown,0.01,Error,0.04,0,1,0,0
dchoice_no_fp_fin5_min,Unknown,0.04,Error,0.05,0,1,0,0
dchoice_no_fp_fin6_min,Unknown,0.01,Error,0.04,0,1,0,0
dchoice_no_fp_fin7,Unknown,0.04,Error,0.03,0,1,0,0
dchoice_no_fp_fin7_min,Unknown,0,Error,0.06,0,1,0,0
dchoice_no_fp_fin8,Unknown,0.04,Error,0.82,0,1,0,0
dchoice_no_fp_fin8_min,Unknown,0.01,Error,0.04,0,1,0,0
dchoice_no_fp_fin9,Unknown,0.04,Error,0.04,0,1,0,0
dchoice_no_fp_fin9_min,Unknown,0,Error,0.04,0,1,0,0
depimp,Unknown,0.06,Unknown,0,0,1,0,0
dhol_test_1_neg,Unknown,0,Timeout,180.45,0,1,0,0
dhol_test_10,Unknown,0.01,Timeout,180,0,1,0,0
dhol_test_11,Unknown,0,Timeout,181.28,0,1,0,0
dhol_test_12,Unknown,0,Unknown,0,0,1,0,0
dhol_test_13,Unknown,0.01,Unknown,0,0,1,0,0
dhol_test_15,Unknown,0.04,Timeout,180.22,0,1,0,0
dhol_test_2_neg,Unknown,0,Timeout,180.39,0,1,0,0
dhol_test_3_neg,Unknown,0,Timeout,180.71,0,1,0,0
dhol_test_4_neg,Unknown,0,Timeout,180.23,0,1,0,0
dhol_test_5_neg,Unknown,0.01,Timeout,180.72,0,1,0,0
dhol_test_6_neg,Unknown,0,Timeout,180.38,0,1,0,0
dhol_test_7_neg,Unknown,0.03,Timeout,180.52,0,1,0,0
dhol_test_8,Unknown,0,Timeout,180.21,0,1,0,0
dhol_test_9,Unknown,0.04,Timeout,180.36,0,1,0,0
fin_l,Unknown,0,Timeout,180.81,0,1,0,0
fin_lr,Timeout,181.05,Unknown,0,0,1,0,0
fin_r,Timeout,180.09,Unknown,0,0,1,0,0
fin2nofp,Unknown,0,Timeout,181.31,0,1,0,0
fin2swap1,Unknown,0.01,Error,0.04,0,1,0,0
fin2swap1lem,Unknown,0.05,Timeout,180.16,0,1,0,0
list-add-assoc,Timeout,181.04,Timeout,180.15,0,1,0,0
list-add-com,Timeout,181.07,Timeout,180.59,0,1,0,0
list-app-assoc-indinst,Timeout,181.07,Timeout,180.34,0,1,0,0
list-app-assoc-indinst,Unknown,0.01,Timeout,180.72,0,1,0,0
list-app-assoc-indinst-typeInstantiated,Unknown,0,Timeout,180.54,0,1,0,0
list-app-assoc-indstep1,Unknown,0,Timeout,180.16,0,1,0,0
list-app-assoc-indstep1-typeInstantiated,Unknown,0.04,Timeout,180.37,0,1,0,0
list-app-assoc-indstep2,Unknown,0.03,Unknown,0,0,1,0,0
list-app-assoc-indstep2-typeInstantiated,Unknown,0,Timeout,180.11,0,1,0,0
list-app-assoc-indstep3,Unknown,0.01,Timeout,180.34,0,1,0,0
list-app-assoc-indstep3-typeInstantiated,Unknown,0,Timeout,180.37,0,1,0,0
list-app-assoc-indstep4,Unknown,0.01,Timeout,180.65,0,1,0,0
list-app-assoc-indstep4-typeInstantiated,Unknown,0,Unknown,0,0,1,0,0
list-app-assoc-indstep5-typeInstantiated,Unknown,0,Timeout,180.67,0,1,0,0
list-app-assoc-m1-step2,Timeout,181.07,Timeout,180.33,0,1,0,0
list-app-assoc-m1-step3,Timeout,181.07,Timeout,180.47,0,1,0,0
list-app-assoc-m1-step4,Timeout,181,Timeout,180.68,0,1,0,0
list-app-assoc-m1-step5,Timeout,181.05,Timeout,180,0,1,0,0
list-app-nil,Unknown,0,Timeout,180.28,0,1,0,0
list-app-nil-indinst,Timeout,181.02,Timeout,180.51,0,1,0,0
list-app-nil-indinst,Unknown,0.04,Unknown,0,0,1,0,0
list-rev-invol-lem-indinst,Timeout,181.04,Timeout,180.59,0,1,0,0
list-rev-invol-lem-indstep,Timeout,181.03,Timeout,180.45,0,1,0,0
list-rev-invol-lem-indstep2,Timeout,180.03,Timeout,180.46,0,1,0,0
list-rev-invol-lem-indstep6,Timeout,181.08,Timeout,180.79,0,1,0,0
list-rev-invol-lem-indstep7,Timeout,181.06,Unknown,0,0,1,0,0
list-rev-invol-typeInstantiated,Unknown,0,Timeout,180.26,0,1,0,0
matrix-add-assoc,Timeout,180.01,Timeout,180.72,0,1,0,0
matrix-add-com,Timeout,181,Timeout,181.13,0,1,0,0
